Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-11-15,2.41,2.57,2.35,2.4,22500.0,0.0,1.0,2.41,2.57,2.35,2.4,22500.0
2012-11-14,2.49,2.57,2.35,2.43,32100.0,0.0,1.0,2.49,2.57,2.35,2.43,32100.0
2012-11-13,2.26,2.65,2.26,2.47,55000.0,0.0,1.0,2.26,2.65,2.26,2.47,55000.0
2012-11-12,2.45,2.49,2.13,2.36,151600.0,0.0,1.0,2.45,2.49,2.13,2.36,151600.0
2012-11-09,2.8,2.8,2.48,2.5,113000.0,0.0,1.0,2.8,2.8,2.48,2.5,113000.0
2012-11-08,2.68,2.72,2.62,2.63,45000.0,0.0,1.0,2.68,2.72,2.62,2.63,45000.0
2012-11-07,2.62,2.68,2.62,2.66,7100.0,0.0,1.0,2.62,2.68,2.62,2.66,7100.0
2012-11-06,2.59,2.68,2.59,2.65,33600.0,0.0,1.0,2.59,2.68,2.59,2.65,33600.0
2012-11-05,2.56,2.68,2.53,2.59,30300.0,0.0,1.0,2.56,2.68,2.53,2.59,30300.0
2012-11-02,2.54,2.58,2.54,2.58,11700.0,0.0,1.0,2.54,2.58,2.54,2.58,11700.0
2012-11-01,2.58,2.58,2.5,2.53,7200.0,0.0,1.0,2.58,2.58,2.5,2.53,7200.0
2012-10-31,2.6,2.61,2.4,2.6,89800.0,0.0,1.0,2.6,2.61,2.4,2.6,89800.0
2012-10-26,2.6,2.66,2.59,2.59,27500.0,0.0,1.0,2.6,2.66,2.59,2.59,27500.0
2012-10-25,2.7,2.73,2.6,2.6,30300.0,0.0,1.0,2.7,2.73,2.6,2.6,30300.0
2012-10-24,2.69,2.75,2.65,2.68,8700.0,0.0,1.0,2.69,2.75,2.65,2.68,8700.0
2012-10-23,2.65,2.78,2.65,2.7,24600.0,0.0,1.0,2.65,2.78,2.65,2.7,24600.0
2012-10-22,2.68,2.71,2.65,2.69,17000.0,0.0,1.0,2.68,2.71,2.65,2.69,17000.0
2012-10-19,2.7,2.75,2.69,2.71,31500.0,0.0,1.0,2.7,2.75,2.69,2.71,31500.0
2012-10-18,2.69,2.78,2.66,2.7,54500.0,0.0,1.0,2.69,2.78,2.66,2.7,54500.0
2012-10-17,2.7,2.72,2.68,2.69,20800.0,0.0,1.0,2.7,2.72,2.68,2.69,20800.0
2012-10-16,2.73,2.74,2.68,2.71,8100.0,0.0,1.0,2.73,2.74,2.68,2.71,8100.0
2012-10-15,2.69,2.72,2.69,2.71,27600.0,0.0,1.0,2.69,2.72,2.69,2.71,27600.0
2012-10-12,2.7,2.72,2.68,2.7,17200.0,0.0,1.0,2.7,2.72,2.68,2.7,17200.0
2012-10-11,2.74,2.74,2.7,2.71,10300.0,0.0,1.0,2.74,2.74,2.7,2.71,10300.0
2012-10-10,2.74,2.75,2.69,2.72,19400.0,0.0,1.0,2.74,2.75,2.69,2.72,19400.0
2012-10-09,2.74,2.78,2.68,2.71,25700.0,0.0,1.0,2.74,2.78,2.68,2.71,25700.0
2012-10-08,2.76,2.78,2.71,2.71,12800.0,0.0,1.0,2.76,2.78,2.71,2.71,12800.0
2012-10-05,2.78,2.84,2.7,2.8,17900.0,0.0,1.0,2.78,2.84,2.7,2.8,17900.0
2012-10-04,2.71,2.84,2.7,2.8,20000.0,0.0,1.0,2.71,2.84,2.7,2.8,20000.0
2012-10-03,2.73,2.83,2.71,2.71,19800.0,0.0,1.0,2.73,2.83,2.71,2.71,19800.0
2012-10-02,2.73,2.79,2.71,2.73,21800.0,0.0,1.0,2.73,2.79,2.71,2.73,21800.0
2012-10-01,2.85,2.85,2.72,2.75,11600.0,0.0,1.0,2.85,2.85,2.72,2.75,11600.0
2012-09-28,2.71,2.79,2.71,2.78,25100.0,0.0,1.0,2.71,2.79,2.71,2.78,25100.0
2012-09-27,2.71,2.83,2.71,2.75,16600.0,0.0,1.0,2.71,2.83,2.71,2.75,16600.0
2012-09-26,2.84,2.89,2.7,2.74,10600.0,0.0,1.0,2.84,2.89,2.7,2.74,10600.0
2012-09-25,2.79,2.84,2.74,2.74,21300.0,0.0,1.0,2.79,2.84,2.74,2.74,21300.0
2012-09-24,2.74,2.85,2.74,2.79,16200.0,0.0,1.0,2.74,2.85,2.74,2.79,16200.0
2012-09-21,2.81,2.86,2.76,2.77,37400.0,0.0,1.0,2.81,2.86,2.76,2.77,37400.0
2012-09-20,2.83,2.9,2.75,2.77,56400.0,0.0,1.0,2.83,2.9,2.75,2.77,56400.0
2012-09-19,2.87,2.89,2.77,2.82,23600.0,0.0,1.0,2.87,2.89,2.77,2.82,23600.0
2012-09-18,2.75,2.89,2.74,2.85,86600.0,0.0,1.0,2.75,2.89,2.74,2.85,86600.0
2012-09-17,2.7,2.76,2.66,2.73,40800.0,0.0,1.0,2.7,2.76,2.66,2.73,40800.0
2012-09-14,2.71,2.75,2.7,2.73,30000.0,0.0,1.0,2.71,2.75,2.7,2.73,30000.0
2012-09-13,2.73,2.76,2.71,2.71,22500.0,0.0,1.0,2.73,2.76,2.71,2.71,22500.0
2012-09-12,2.81,2.86,2.72,2.76,13900.0,0.0,1.0,2.81,2.86,2.72,2.76,13900.0
2012-09-11,2.87,2.89,2.76,2.78,17300.0,0.0,1.0,2.87,2.89,2.76,2.78,17300.0
2012-09-10,2.83,2.91,2.83,2.84,27400.0,0.0,1.0,2.83,2.91,2.83,2.84,27400.0
2012-09-07,2.8,2.89,2.8,2.86,20800.0,0.0,1.0,2.8,2.89,2.8,2.86,20800.0
2012-09-06,2.77,2.87,2.74,2.84,79700.0,0.0,1.0,2.77,2.87,2.74,2.84,79700.0
2012-09-05,2.71,2.78,2.7,2.77,18800.0,0.0,1.0,2.71,2.78,2.7,2.77,18800.0
2012-09-04,2.82,2.82,2.71,2.71,36000.0,0.0,1.0,2.82,2.82,2.71,2.71,36000.0
2012-08-31,2.7,2.84,2.7,2.8,54300.0,0.0,1.0,2.7,2.84,2.7,2.8,54300.0
2012-08-30,2.74,2.74,2.68,2.68,12500.0,0.0,1.0,2.74,2.74,2.68,2.68,12500.0
2012-08-29,2.7,2.72,2.67,2.69,23800.0,0.0,1.0,2.7,2.72,2.67,2.69,23800.0
2012-08-28,2.77,2.8,2.7,2.71,39100.0,0.0,1.0,2.77,2.8,2.7,2.71,39100.0
2012-08-27,2.77,2.78,2.75,2.77,18200.0,0.0,1.0,2.77,2.78,2.75,2.77,18200.0
2012-08-24,2.72,2.75,2.71,2.74,30600.0,0.0,1.0,2.72,2.75,2.71,2.74,30600.0
2012-08-23,2.72,2.78,2.72,2.74,25200.0,0.0,1.0,2.72,2.78,2.72,2.74,25200.0
2012-08-22,2.76,2.79,2.73,2.75,15300.0,0.0,1.0,2.76,2.79,2.73,2.75,15300.0
2012-08-21,2.82,2.82,2.74,2.76,35900.0,0.0,1.0,2.82,2.82,2.74,2.76,35900.0
2012-08-20,2.77,2.81,2.74,2.79,17400.0,0.0,1.0,2.77,2.81,2.74,2.79,17400.0
2012-08-17,2.77,2.82,2.76,2.79,56400.0,0.0,1.0,2.77,2.82,2.76,2.79,56400.0
2012-08-16,2.74,2.79,2.72,2.77,51600.0,0.0,1.0,2.74,2.79,2.72,2.77,51600.0
2012-08-15,2.7,2.75,2.68,2.71,23600.0,0.0,1.0,2.7,2.75,2.68,2.71,23600.0
2012-08-14,2.65,2.77,2.65,2.71,115900.0,0.0,1.0,2.65,2.77,2.65,2.71,115900.0
2012-08-13,2.6,2.67,2.51,2.66,552700.0,0.0,1.0,2.6,2.67,2.51,2.66,552700.0
2012-08-10,2.51,2.63,2.48,2.61,183600.0,0.0,1.0,2.51,2.63,2.48,2.61,183600.0
2012-08-09,2.51,2.84,2.49,2.53,385900.0,0.0,1.0,2.51,2.84,2.49,2.53,385900.0
2012-08-08,2.43,2.51,2.39,2.51,240400.0,0.0,1.0,2.43,2.51,2.39,2.51,240400.0
2012-08-07,2.51,2.55,2.4,2.44,256500.0,0.0,1.0,2.51,2.55,2.4,2.44,256500.0
2012-08-06,2.59,2.59,2.48,2.52,22400.0,0.0,1.0,2.59,2.59,2.48,2.52,22400.0
2012-08-03,2.36,2.6,2.32,2.56,93700.0,0.0,1.0,2.36,2.6,2.32,2.56,93700.0
2012-08-02,2.32,2.35,2.22,2.3,70800.0,0.0,1.0,2.32,2.35,2.22,2.3,70800.0
2012-08-01,2.34,2.4,2.3,2.31,96600.0,0.0,1.0,2.34,2.4,2.3,2.31,96600.0
2012-07-31,2.45,2.45,2.3,2.34,69400.0,0.0,1.0,2.45,2.45,2.3,2.34,69400.0
2012-07-30,2.49,2.49,2.38,2.4,178800.0,0.0,1.0,2.49,2.49,2.38,2.4,178800.0
2012-07-27,2.54,2.54,2.45,2.5,41600.0,0.0,1.0,2.54,2.54,2.45,2.5,41600.0
2012-07-26,2.5,2.6,2.46,2.51,99300.0,0.0,1.0,2.5,2.6,2.46,2.51,99300.0
2012-07-25,2.54,2.61,2.45,2.48,198700.0,0.0,1.0,2.54,2.61,2.45,2.48,198700.0
2012-07-24,2.55,2.61,2.53,2.56,82100.0,0.0,1.0,2.55,2.61,2.53,2.56,82100.0
2012-07-23,2.56,2.6,2.53,2.56,46900.0,0.0,1.0,2.56,2.6,2.53,2.56,46900.0
2012-07-20,2.59,2.67,2.59,2.62,43000.0,0.0,1.0,2.59,2.67,2.59,2.62,43000.0
2012-07-19,2.58,2.6,2.48,2.6,69700.0,0.0,1.0,2.58,2.6,2.48,2.6,69700.0
2012-07-18,2.6,2.67,2.57,2.57,75700.0,0.0,1.0,2.6,2.67,2.57,2.57,75700.0
2012-07-17,2.63,2.64,2.58,2.6,50100.0,0.0,1.0,2.63,2.64,2.58,2.6,50100.0
2012-07-16,2.7,2.71,2.61,2.61,90400.0,0.0,1.0,2.7,2.71,2.61,2.61,90400.0
2012-07-13,2.63,2.74,2.63,2.7,27000.0,0.0,1.0,2.63,2.74,2.63,2.7,27000.0
2012-07-12,2.72,2.74,2.55,2.64,55200.0,0.0,1.0,2.72,2.74,2.55,2.64,55200.0
2012-07-11,2.74,2.79,2.58,2.66,124900.0,0.0,1.0,2.74,2.79,2.58,2.66,124900.0
2012-07-10,2.59,2.73,2.58,2.73,118100.0,0.0,1.0,2.59,2.73,2.58,2.73,118100.0
2012-07-09,2.53,2.6,2.52,2.59,189500.0,0.0,1.0,2.53,2.6,2.52,2.59,189500.0
2012-07-06,2.5,2.88,2.49,2.55,195800.0,0.0,1.0,2.5,2.88,2.49,2.55,195800.0
2012-07-05,2.58,2.59,2.47,2.52,246300.0,0.0,1.0,2.58,2.59,2.47,2.52,246300.0
2012-07-03,2.57,2.6,2.55,2.58,38900.0,0.0,1.0,2.57,2.6,2.55,2.58,38900.0
2012-07-02,2.65,2.67,2.55,2.57,81100.0,0.0,1.0,2.65,2.67,2.55,2.57,81100.0
2012-06-29,2.65,2.72,2.57,2.66,110400.0,0.0,1.0,2.65,2.72,2.57,2.66,110400.0
2012-06-28,2.42,2.63,2.38,2.62,110300.0,0.0,1.0,2.42,2.63,2.38,2.62,110300.0
2012-06-27,2.46,2.54,2.42,2.45,85500.0,0.0,1.0,2.46,2.54,2.42,2.45,85500.0
2012-06-26,2.5,2.51,2.4,2.45,214600.0,0.0,1.0,2.5,2.51,2.4,2.45,214600.0
2012-06-25,2.57,2.58,2.49,2.53,148100.0,0.0,1.0,2.57,2.58,2.49,2.53,148100.0
2012-06-22,2.65,2.68,2.6,2.6,4283800.0,0.0,1.0,2.65,2.68,2.6,2.6,4283800.0
2012-06-21,2.7,2.75,2.68,2.68,240600.0,0.0,1.0,2.7,2.75,2.68,2.68,240600.0
2012-06-20,2.72,2.8,2.67,2.71,146000.0,0.0,1.0,2.72,2.8,2.67,2.71,146000.0
2012-06-19,2.91,2.92,2.67,2.74,365500.0,0.0,1.0,2.91,2.92,2.67,2.74,365500.0
2012-06-18,2.78,2.92,2.78,2.91,121600.0,0.0,1.0,2.78,2.92,2.78,2.91,121600.0
2012-06-15,2.64,2.86,2.54,2.8,247500.0,0.0,1.0,2.64,2.86,2.54,2.8,247500.0
2012-06-14,2.6,2.72,2.58,2.71,202300.0,0.0,1.0,2.6,2.72,2.58,2.71,202300.0
2012-06-13,2.65,2.65,2.51,2.58,177700.0,0.0,1.0,2.65,2.65,2.51,2.58,177700.0
2012-06-12,2.63,2.69,2.6,2.64,98000.0,0.0,1.0,2.63,2.69,2.6,2.64,98000.0
2012-06-11,2.64,2.65,2.56,2.62,157000.0,0.0,1.0,2.64,2.65,2.56,2.62,157000.0
2012-06-08,2.36,2.71,2.35,2.62,136000.0,0.0,1.0,2.36,2.71,2.35,2.62,136000.0
2012-06-07,2.4,2.4,2.36,2.37,91200.0,0.0,1.0,2.4,2.4,2.36,2.37,91200.0
2012-06-06,2.36,2.38,2.35,2.37,107500.0,0.0,1.0,2.36,2.38,2.35,2.37,107500.0
2012-06-05,2.35,2.38,2.34,2.35,109500.0,0.0,1.0,2.35,2.38,2.34,2.35,109500.0
2012-06-04,2.4,2.41,2.33,2.38,128200.0,0.0,1.0,2.4,2.41,2.33,2.38,128200.0
2012-06-01,2.35,2.54,2.33,2.39,130900.0,0.0,1.0,2.35,2.54,2.33,2.39,130900.0
2012-05-31,2.39,2.55,2.35,2.4,112200.0,0.0,1.0,2.39,2.55,2.35,2.4,112200.0
2012-05-30,2.33,2.43,2.32,2.37,104700.0,0.0,1.0,2.33,2.43,2.32,2.37,104700.0
2012-05-29,2.48,2.59,2.32,2.33,264400.0,0.0,1.0,2.48,2.59,2.32,2.33,264400.0
2012-05-25,2.5,2.65,2.32,2.5,346200.0,0.0,1.0,2.5,2.65,2.32,2.5,346200.0
2012-05-24,2.68,2.7,2.43,2.51,232800.0,0.0,1.0,2.68,2.7,2.43,2.51,232800.0
2012-05-23,2.76,2.87,2.58,2.65,113000.0,0.0,1.0,2.76,2.87,2.58,2.65,113000.0
2012-05-22,2.97,2.98,2.75,2.8,102000.0,0.0,1.0,2.97,2.98,2.75,2.8,102000.0
2012-05-21,2.92,3.02,2.9,2.96,69600.0,0.0,1.0,2.92,3.02,2.9,2.96,69600.0
2012-05-18,3.02,3.08,2.9,2.92,117600.0,0.0,1.0,3.02,3.08,2.9,2.92,117600.0
2012-05-17,3.08,3.12,3.0,3.04,80400.0,0.0,1.0,3.08,3.12,3.0,3.04,80400.0
2012-05-16,3.13,3.2,2.93,3.07,37900.0,0.0,1.0,3.13,3.2,2.93,3.07,37900.0
2012-05-15,3.07,3.24,3.05,3.12,79000.0,0.0,1.0,3.07,3.24,3.05,3.12,79000.0
2012-05-14,3.01,3.16,2.9,3.07,95900.0,0.0,1.0,3.01,3.16,2.9,3.07,95900.0
2012-05-11,2.99,3.05,2.99,3.02,49000.0,0.0,1.0,2.99,3.05,2.99,3.02,49000.0
2012-05-10,2.88,3.12,2.88,3.03,100000.0,0.0,1.0,2.88,3.12,2.88,3.03,100000.0
2012-05-09,3.01,3.05,2.94,2.99,61000.0,0.0,1.0,3.01,3.05,2.94,2.99,61000.0
2012-05-08,2.99,3.07,2.99,3.06,28200.0,0.0,1.0,2.99,3.07,2.99,3.06,28200.0
2012-05-07,2.94,3.03,2.94,3.01,61000.0,0.0,1.0,2.94,3.03,2.94,3.01,61000.0
2012-05-04,2.93,3.05,2.88,2.99,113800.0,0.0,1.0,2.93,3.05,2.88,2.99,113800.0
2012-05-03,2.91,2.98,2.8,2.95,129100.0,0.0,1.0,2.91,2.98,2.8,2.95,129100.0
2012-05-02,2.95,3.03,2.9,2.91,91900.0,0.0,1.0,2.95,3.03,2.9,2.91,91900.0
2012-05-01,3.09,3.21,2.95,2.98,134000.0,0.0,1.0,3.09,3.21,2.95,2.98,134000.0
2012-04-30,3.29,3.33,3.08,3.09,163000.0,0.0,1.0,3.29,3.33,3.08,3.09,163000.0
2012-04-27,3.33,3.33,3.23,3.3,67800.0,0.0,1.0,3.33,3.33,3.23,3.3,67800.0
2012-04-26,3.29,3.32,3.24,3.31,21500.0,0.0,1.0,3.29,3.32,3.24,3.31,21500.0
2012-04-25,3.24,3.35,3.23,3.31,111900.0,0.0,1.0,3.24,3.35,3.23,3.31,111900.0
2012-04-24,3.09,3.2,3.09,3.2,97200.0,0.0,1.0,3.09,3.2,3.09,3.2,97200.0
2012-04-23,3.18,3.24,3.05,3.1,88200.0,0.0,1.0,3.18,3.24,3.05,3.1,88200.0
2012-04-20,3.24,3.32,3.18,3.19,87900.0,0.0,1.0,3.24,3.32,3.18,3.19,87900.0
2012-04-19,3.22,3.26,3.16,3.18,91300.0,0.0,1.0,3.22,3.26,3.16,3.18,91300.0
2012-04-18,3.23,3.27,3.2,3.22,51400.0,0.0,1.0,3.23,3.27,3.2,3.22,51400.0
2012-04-17,3.27,3.27,3.19,3.25,53400.0,0.0,1.0,3.27,3.27,3.19,3.25,53400.0
2012-04-16,3.23,3.29,3.18,3.23,66400.0,0.0,1.0,3.23,3.29,3.18,3.23,66400.0
2012-04-13,3.38,3.38,3.17,3.18,103700.0,0.0,1.0,3.38,3.38,3.17,3.18,103700.0
2012-04-12,3.22,3.45,3.22,3.4,203500.0,0.0,1.0,3.22,3.45,3.22,3.4,203500.0
2012-04-11,3.26,3.32,3.25,3.29,79300.0,0.0,1.0,3.26,3.32,3.25,3.29,79300.0
2012-04-10,3.22,3.31,3.15,3.22,133500.0,0.0,1.0,3.22,3.31,3.15,3.22,133500.0
2012-04-09,3.19,3.26,3.11,3.24,142400.0,0.0,1.0,3.19,3.26,3.11,3.24,142400.0
2012-04-05,3.32,3.37,3.2,3.26,126000.0,0.0,1.0,3.32,3.37,3.2,3.26,126000.0
2012-04-04,3.29,3.37,3.22,3.36,81400.0,0.0,1.0,3.29,3.37,3.22,3.36,81400.0
2012-04-03,3.35,3.53,3.28,3.32,148200.0,0.0,1.0,3.35,3.53,3.28,3.32,148200.0
2012-04-02,3.17,3.31,3.17,3.31,172600.0,0.0,1.0,3.17,3.31,3.17,3.31,172600.0
2012-03-30,3.32,3.38,3.17,3.18,165400.0,0.0,1.0,3.32,3.38,3.17,3.18,165400.0
2012-03-29,3.24,3.3,3.18,3.28,85300.0,0.0,1.0,3.24,3.3,3.18,3.28,85300.0
2012-03-28,3.33,3.33,3.22,3.29,48300.0,0.0,1.0,3.33,3.33,3.22,3.29,48300.0
2012-03-27,3.37,3.44,3.32,3.32,123000.0,0.0,1.0,3.37,3.44,3.32,3.32,123000.0
2012-03-26,3.28,3.38,3.25,3.36,104100.0,0.0,1.0,3.28,3.38,3.25,3.36,104100.0
2012-03-23,3.29,3.33,3.19,3.24,73100.0,0.0,1.0,3.29,3.33,3.19,3.24,73100.0
2012-03-22,3.36,3.36,3.18,3.3,160700.0,0.0,1.0,3.36,3.36,3.18,3.3,160700.0
2012-03-21,3.51,3.52,3.39,3.4,78000.0,0.0,1.0,3.51,3.52,3.39,3.4,78000.0
2012-03-20,3.56,3.58,3.47,3.49,93400.0,0.0,1.0,3.56,3.58,3.47,3.49,93400.0
2012-03-19,3.6,3.64,3.55,3.58,199000.0,0.0,1.0,3.6,3.64,3.55,3.58,199000.0
2012-03-16,3.29,3.54,3.22,3.51,315700.0,0.0,1.0,3.29,3.54,3.22,3.51,315700.0
2012-03-15,3.24,3.28,3.2,3.27,106200.0,0.0,1.0,3.24,3.28,3.2,3.27,106200.0
2012-03-14,3.44,3.44,3.27,3.29,117700.0,0.0,1.0,3.44,3.44,3.27,3.29,117700.0
2012-03-13,3.38,3.56,3.34,3.45,306400.0,0.0,1.0,3.38,3.56,3.34,3.45,306400.0
2012-03-12,3.44,3.49,3.29,3.38,199500.0,0.0,1.0,3.44,3.49,3.29,3.38,199500.0
2012-03-09,3.12,3.53,3.1,3.45,313000.0,0.0,1.0,3.12,3.53,3.1,3.45,313000.0
2012-03-08,3.03,3.25,3.01,3.12,304900.0,0.0,1.0,3.03,3.25,3.01,3.12,304900.0
2012-03-07,2.78,2.95,2.7,2.92,123300.0,0.0,1.0,2.78,2.95,2.7,2.92,123300.0
2012-03-06,2.84,2.92,2.69,2.76,79800.0,0.0,1.0,2.84,2.92,2.69,2.76,79800.0
2012-03-05,2.89,2.89,2.61,2.89,30100.0,0.0,1.0,2.89,2.89,2.61,2.89,30100.0
2012-03-02,2.97,2.97,2.89,2.91,90800.0,0.0,1.0,2.97,2.97,2.89,2.91,90800.0
2012-03-01,3.02,3.03,2.95,2.95,44600.0,0.0,1.0,3.02,3.03,2.95,2.95,44600.0
2012-02-29,3.0,3.1,2.94,3.01,102800.0,0.0,1.0,3.0,3.1,2.94,3.01,102800.0
2012-02-28,3.09,3.1,2.93,2.94,64200.0,0.0,1.0,3.09,3.1,2.93,2.94,64200.0
2012-02-27,3.1,3.17,3.0,3.08,71300.0,0.0,1.0,3.1,3.17,3.0,3.08,71300.0
2012-02-24,2.89,3.29,2.89,3.1,208600.0,0.0,1.0,2.89,3.29,2.89,3.1,208600.0
2012-02-23,2.66,2.9,2.66,2.89,165600.0,0.0,1.0,2.66,2.9,2.66,2.89,165600.0
2012-02-22,2.49,2.69,2.48,2.67,263200.0,0.0,1.0,2.49,2.69,2.48,2.67,263200.0
2012-02-21,2.49,2.54,2.44,2.5,37800.0,0.0,1.0,2.49,2.54,2.44,2.5,37800.0
2012-02-17,2.47,2.55,2.43,2.49,75400.0,0.0,1.0,2.47,2.55,2.43,2.49,75400.0
2012-02-16,2.42,2.47,2.4,2.45,51000.0,0.0,1.0,2.42,2.47,2.4,2.45,51000.0
2012-02-15,2.46,2.48,2.38,2.4,45500.0,0.0,1.0,2.46,2.48,2.38,2.4,45500.0
2012-02-14,2.44,2.48,2.44,2.45,30300.0,0.0,1.0,2.44,2.48,2.44,2.45,30300.0
2012-02-13,2.45,2.51,2.41,2.46,32500.0,0.0,1.0,2.45,2.51,2.41,2.46,32500.0
2012-02-10,2.51,2.55,2.37,2.39,56700.0,0.0,1.0,2.51,2.55,2.37,2.39,56700.0
2012-02-09,2.63,2.7,2.55,2.55,48900.0,0.0,1.0,2.63,2.7,2.55,2.55,48900.0
2012-02-08,2.68,2.7,2.6,2.63,27400.0,0.0,1.0,2.68,2.7,2.6,2.63,27400.0
2012-02-07,2.58,2.68,2.56,2.68,66000.0,0.0,1.0,2.58,2.68,2.56,2.68,66000.0
2012-02-06,2.62,2.65,2.51,2.6,60400.0,0.0,1.0,2.62,2.65,2.51,2.6,60400.0
2012-02-03,2.75,2.75,2.61,2.65,142200.0,0.0,1.0,2.75,2.75,2.61,2.65,142200.0
2012-02-02,2.64,2.7,2.59,2.7,69400.0,0.0,1.0,2.64,2.7,2.59,2.7,69400.0
2012-02-01,2.54,2.65,2.52,2.64,117400.0,0.0,1.0,2.54,2.65,2.52,2.64,117400.0
2012-01-31,2.46,2.54,2.41,2.51,148800.0,0.0,1.0,2.46,2.54,2.41,2.51,148800.0
2012-01-30,2.4,2.46,2.36,2.45,127100.0,0.0,1.0,2.4,2.46,2.36,2.45,127100.0
2012-01-27,2.23,2.42,2.23,2.42,107000.0,0.0,1.0,2.23,2.42,2.23,2.42,107000.0
2012-01-26,2.17,2.25,2.17,2.24,117100.0,0.0,1.0,2.17,2.25,2.17,2.24,117100.0
2012-01-25,2.1,2.17,2.09,2.17,144200.0,0.0,1.0,2.1,2.17,2.09,2.17,144200.0
2012-01-24,2.13,2.14,2.08,2.09,73900.0,0.0,1.0,2.13,2.14,2.08,2.09,73900.0
2012-01-23,2.08,2.16,2.06,2.15,97800.0,0.0,1.0,2.08,2.16,2.06,2.15,97800.0
2012-01-20,1.96,2.13,1.95,2.07,120800.0,0.0,1.0,1.96,2.13,1.95,2.07,120800.0
2012-01-19,1.95,1.97,1.87,1.96,242200.0,0.0,1.0,1.95,1.97,1.87,1.96,242200.0
2012-01-18,2.0,2.0,1.87,1.94,180800.0,0.0,1.0,2.0,2.0,1.87,1.94,180800.0
2012-01-17,2.0,2.05,1.97,2.0,167300.0,0.0,1.0,2.0,2.05,1.97,2.0,167300.0
2012-01-13,1.98,2.0,1.98,1.98,46300.0,0.0,1.0,1.98,2.0,1.98,1.98,46300.0
2012-01-12,2.05,2.06,1.98,2.0,96500.0,0.0,1.0,2.05,2.06,1.98,2.0,96500.0
2012-01-11,2.04,2.07,2.03,2.05,40400.0,0.0,1.0,2.04,2.07,2.03,2.05,40400.0
2012-01-10,2.07,2.07,2.03,2.05,127300.0,0.0,1.0,2.07,2.07,2.03,2.05,127300.0
2012-01-09,2.07,2.08,2.04,2.05,97600.0,0.0,1.0,2.07,2.08,2.04,2.05,97600.0
2012-01-06,2.09,2.1,2.03,2.06,124300.0,0.0,1.0,2.09,2.1,2.03,2.06,124300.0
2012-01-05,2.13,2.13,2.06,2.09,79300.0,0.0,1.0,2.13,2.13,2.06,2.09,79300.0
2012-01-04,2.15,2.16,2.13,2.13,25900.0,0.0,1.0,2.15,2.16,2.13,2.13,25900.0
2012-01-03,2.17,2.17,2.13,2.17,37200.0,0.0,1.0,2.17,2.17,2.13,2.17,37200.0
2011-12-30,2.1,2.16,2.08,2.13,111800.0,0.0,1.0,2.1,2.16,2.08,2.13,111800.0
2011-12-29,2.11,2.12,2.09,2.11,54800.0,0.0,1.0,2.11,2.12,2.09,2.11,54800.0
2011-12-28,2.17,2.18,2.11,2.11,85500.0,0.0,1.0,2.17,2.18,2.11,2.11,85500.0
2011-12-27,2.15,2.17,2.14,2.17,55000.0,0.0,1.0,2.15,2.17,2.14,2.17,55000.0
2011-12-23,2.21,2.21,2.14,2.15,49000.0,0.0,1.0,2.21,2.21,2.14,2.15,49000.0
2011-12-22,2.2,2.32,2.12,2.2,116200.0,0.0,1.0,2.2,2.32,2.12,2.2,116200.0
2011-12-21,2.19,2.21,2.16,2.19,94600.0,0.0,1.0,2.19,2.21,2.16,2.19,94600.0
2011-12-20,2.03,2.26,1.99,2.21,99200.0,0.0,1.0,2.03,2.26,1.99,2.21,99200.0
2011-12-19,2.19,2.22,2.12,2.12,60400.0,0.0,1.0,2.19,2.22,2.12,2.12,60400.0
2011-12-16,2.22,2.22,2.12,2.19,190300.0,0.0,1.0,2.22,2.22,2.12,2.19,190300.0
2011-12-15,2.26,2.26,2.14,2.21,71900.0,0.0,1.0,2.26,2.26,2.14,2.21,71900.0
2011-12-14,2.11,2.26,2.1,2.22,141500.0,0.0,1.0,2.11,2.26,2.1,2.22,141500.0
2011-12-13,2.2,2.27,2.08,2.12,86900.0,0.0,1.0,2.2,2.27,2.08,2.12,86900.0
2011-12-12,2.17,2.21,2.14,2.19,67900.0,0.0,1.0,2.17,2.21,2.14,2.19,67900.0
2011-12-09,2.25,2.3,2.18,2.2,150100.0,0.0,1.0,2.25,2.3,2.18,2.2,150100.0
2011-12-08,2.37,2.42,2.21,2.23,110300.0,0.0,1.0,2.37,2.42,2.21,2.23,110300.0
2011-12-07,2.38,2.43,2.27,2.37,51800.0,0.0,1.0,2.38,2.43,2.27,2.37,51800.0
2011-12-06,2.42,2.42,2.34,2.4,51600.0,0.0,1.0,2.42,2.42,2.34,2.4,51600.0
2011-12-05,2.38,2.4,2.26,2.4,97300.0,0.0,1.0,2.38,2.4,2.26,2.4,97300.0
2011-12-02,2.31,2.35,2.27,2.35,45300.0,0.0,1.0,2.31,2.35,2.27,2.35,45300.0
2011-12-01,2.37,2.37,2.28,2.28,65000.0,0.0,1.0,2.37,2.37,2.28,2.28,65000.0
2011-11-30,2.25,2.43,2.22,2.41,252300.0,0.0,1.0,2.25,2.43,2.22,2.41,252300.0
2011-11-29,2.26,2.29,2.14,2.16,40800.0,0.0,1.0,2.26,2.29,2.14,2.16,40800.0
2011-11-28,2.18,2.29,2.15,2.26,353400.0,0.0,1.0,2.18,2.29,2.15,2.26,353400.0
