Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-09-09,55.0,55.31,52.43,52.48,3054730.0,0.0,1.0,55.0,55.31,52.43,52.48,3054730.0
2016-09-08,55.71,56.1,55.32,55.43,2203801.0,0.0,1.0,55.71,56.1,55.32,55.43,2203801.0
2016-09-07,54.96,56.26,54.96,55.93,1764440.0,0.0,1.0,54.96,56.26,54.96,55.93,1764440.0
2016-09-06,57.85,57.85,55.45,56.02,2297255.0,0.0,1.0,57.85,57.85,55.45,56.02,2297255.0
2016-09-02,57.95,58.33,57.15,57.6,964877.0,0.0,1.0,57.95,58.33,57.15,57.6,964877.0
2016-09-01,57.46,57.85,56.34,57.75,1579165.0,0.0,1.0,57.46,57.85,56.34,57.75,1579165.0
2016-08-31,57.46,57.75,56.75,57.43,1580266.0,0.0,1.0,57.46,57.75,56.75,57.43,1580266.0
2016-08-30,57.5,58.03,57.29,57.69,1357363.0,0.0,1.0,57.5,58.03,57.29,57.69,1357363.0
2016-08-29,57.64,58.13,57.53,57.87,793821.0,0.0,1.0,57.64,58.13,57.53,57.87,793821.0
2016-08-26,57.84,58.53,56.7,57.62,1292576.0,0.0,1.0,57.84,58.53,56.7,57.62,1292576.0
2016-08-25,57.13,58.389,57.02,57.94,1662391.0,0.0,1.0,57.13,58.389,57.02,57.94,1662391.0
2016-08-24,56.12,57.919,56.08,57.31,1959244.0,0.0,1.0,56.12,57.919,56.08,57.31,1959244.0
2016-08-23,56.28,56.63,55.94,56.03,1732176.0,0.0,1.0,56.28,56.63,55.94,56.03,1732176.0
2016-08-22,56.05,56.45,55.57,55.98,889308.0,0.0,1.0,56.05,56.45,55.57,55.98,889308.0
2016-08-19,55.06,56.521,54.91,56.23,1348943.0,0.0,1.0,55.06,56.521,54.91,56.23,1348943.0
2016-08-18,54.72,55.67,54.57,55.2,1304573.0,0.0,1.0,54.72,55.67,54.57,55.2,1304573.0
2016-08-17,55.01,55.64,54.33,54.56,1292445.0,0.0,1.0,55.01,55.64,54.33,54.56,1292445.0
2016-08-16,55.41,55.62,54.86,55.28,1331496.0,0.0,1.0,55.41,55.62,54.86,55.28,1331496.0
2016-08-15,54.54,56.45,54.54,55.77,2213748.0,0.0,1.0,54.54,56.45,54.54,55.77,2213748.0
2016-08-12,54.57,54.87,54.25,54.59,1129856.0,0.0,1.0,54.57,54.87,54.25,54.59,1129856.0
2016-08-11,54.49,54.87,54.13,54.48,1096892.0,0.0,1.0,54.49,54.87,54.13,54.48,1096892.0
2016-08-10,54.86,54.88,54.06,54.14,1223170.0,0.0,1.0,54.86,54.88,54.06,54.14,1223170.0
2016-08-09,54.38,55.2,54.38,54.49,1452127.0,0.0,1.0,54.38,55.2,54.38,54.49,1452127.0
2016-08-08,55.09,55.4414,54.065,54.3,2239077.0,0.0,1.0,55.09,55.4414,54.065,54.3,2239077.0
2016-08-05,53.79,55.27,53.328,55.05,2741894.0,0.0,1.0,53.79,55.27,53.328,55.05,2741894.0
2016-08-04,55.47,55.5,52.46,53.41,4671149.0,0.0,1.0,55.47,55.5,52.46,53.41,4671149.0
2016-08-03,55.5,56.51,54.05,55.12,7982522.0,0.0,1.0,55.5,56.51,54.05,55.12,7982522.0
2016-08-02,63.34,63.34,61.1,61.45,3358584.0,0.0,1.0,63.34,63.34,61.1,61.45,3358584.0
2016-08-01,63.5,64.48,63.1,63.47,1768132.0,0.0,1.0,63.5,64.48,63.1,63.47,1768132.0
2016-07-29,63.0,63.44,61.79,63.23,2162430.0,0.0,1.0,63.0,63.44,61.79,63.23,2162430.0
2016-07-28,63.0,64.38,62.52,63.1,1351772.0,0.0,1.0,63.0,64.38,62.52,63.1,1351772.0
2016-07-27,64.2,64.8,62.18,63.01,2865819.0,0.0,1.0,64.2,64.8,62.18,63.01,2865819.0
2016-07-26,61.13,61.75,60.08,60.38,2172124.0,0.0,1.0,61.13,61.75,60.08,60.38,2172124.0
2016-07-25,60.77,61.13,60.34,60.62,1196205.0,0.0,1.0,60.77,61.13,60.34,60.62,1196205.0
2016-07-22,59.4,61.0,58.4701,60.56,2077682.0,0.0,1.0,59.4,61.0,58.4701,60.56,2077682.0
2016-07-21,61.23,61.42,59.76,60.1,1253143.0,0.0,1.0,61.23,61.42,59.76,60.1,1253143.0
2016-07-20,60.72,61.17,59.81,60.8,1081666.0,0.0,1.0,60.72,61.17,59.81,60.8,1081666.0
2016-07-19,60.31,60.619,60.1,60.4,752011.0,0.0,1.0,60.31,60.619,60.1,60.4,752011.0
2016-07-18,59.79,60.98,59.54,60.66,1328648.0,0.0,1.0,59.79,60.98,59.54,60.66,1328648.0
2016-07-15,59.5,59.6,58.68,59.42,974922.0,0.0,1.0,59.5,59.6,58.68,59.42,974922.0
2016-07-14,57.54,59.48,57.06,59.31,1534817.0,0.0,1.0,57.54,59.48,57.06,59.31,1534817.0
2016-07-13,58.44,58.499,56.65,56.67,1256882.0,0.0,1.0,58.44,58.499,56.65,56.67,1256882.0
2016-07-12,58.21,58.65,57.58,58.0,1141025.0,0.0,1.0,58.21,58.65,57.58,58.0,1141025.0
2016-07-11,56.94,58.68,56.43,57.73,1577021.0,0.0,1.0,56.94,58.68,56.43,57.73,1577021.0
2016-07-08,54.84,56.25,54.7,56.02,1078198.0,0.0,1.0,54.84,56.25,54.7,56.02,1078198.0
2016-07-07,53.46,54.94,53.45,54.37,1258387.0,0.0,1.0,53.46,54.94,53.45,54.37,1258387.0
2016-07-06,51.49,52.68,50.45,52.57,1191674.0,0.0,1.0,51.49,52.68,50.45,52.57,1191674.0
2016-07-05,53.75,54.0,50.63,51.82,1501587.0,0.0,1.0,53.75,54.0,50.63,51.82,1501587.0
2016-07-01,54.4,54.75,52.94,54.5,1501092.0,0.0,1.0,54.4,54.75,52.94,54.5,1501092.0
2016-06-30,54.79,55.26,53.84,55.26,1430903.0,0.0,1.0,54.79,55.26,53.84,55.26,1430903.0
2016-06-29,53.1,54.88,52.8775,54.65,1718663.0,0.0,1.0,53.1,54.88,52.8775,54.65,1718663.0
2016-06-28,51.81,53.38,51.26,52.75,1406690.0,0.0,1.0,51.81,53.38,51.26,52.75,1406690.0
2016-06-27,53.99,54.05,50.25,50.69,1902046.0,0.0,1.0,53.99,54.05,50.25,50.69,1902046.0
2016-06-24,56.2,56.99,54.09,54.94,2487301.0,0.0,1.0,56.2,56.99,54.09,54.94,2487301.0
2016-06-23,56.15,58.3,56.0,58.28,1271201.0,0.0,1.0,56.15,58.3,56.0,58.28,1271201.0
2016-06-22,56.26,57.045,55.56,55.64,1396225.0,0.0,1.0,56.26,57.045,55.56,55.64,1396225.0
2016-06-21,56.32,56.58,55.58,56.33,899136.0,0.0,1.0,56.32,56.58,55.58,56.33,899136.0
2016-06-20,55.52,56.75,54.93,55.98,1393397.0,0.0,1.0,55.52,56.75,54.93,55.98,1393397.0
2016-06-17,54.75,54.83,53.55,54.5,1419568.0,0.0,1.0,54.75,54.83,53.55,54.5,1419568.0
2016-06-16,54.21,54.86,53.5,54.81,1049029.0,0.0,1.0,54.21,54.86,53.5,54.81,1049029.0
2016-06-15,54.72,55.26,53.76,54.94,1560818.0,0.0,1.0,54.72,55.26,53.76,54.94,1560818.0
2016-06-14,53.57,54.55,53.4,54.43,1222500.0,0.0,1.0,53.57,54.55,53.4,54.43,1222500.0
2016-06-13,53.51,54.46,53.4,53.69,1781420.0,0.0,1.0,53.51,54.46,53.4,53.69,1781420.0
2016-06-10,55.4,55.4,53.88,54.03,2292127.0,0.0,1.0,55.4,55.4,53.88,54.03,2292127.0
2016-06-09,56.01,56.5,55.2,56.07,1361716.0,0.0,1.0,56.01,56.5,55.2,56.07,1361716.0
2016-06-08,55.56,56.14,54.95,56.04,1397078.0,0.0,1.0,55.56,56.14,54.95,56.04,1397078.0
2016-06-07,54.92,55.9,54.69,55.49,1157939.0,0.0,1.0,54.92,55.9,54.69,55.49,1157939.0
2016-06-06,53.81,55.11,53.81,54.81,1738969.0,0.0,1.0,53.81,55.11,53.81,54.81,1738969.0
2016-06-03,54.0,54.67,52.73,53.67,2151726.0,0.0,1.0,54.0,54.67,52.73,53.67,2151726.0
2016-06-02,52.0,53.74,51.99,53.49,1771262.0,0.0,1.0,52.0,53.74,51.99,53.49,1771262.0
2016-06-01,50.65,52.34,50.5,52.14,1550969.0,0.0,1.0,50.65,52.34,50.5,52.14,1550969.0
2016-05-31,50.75,51.43,50.25,50.97,1173304.0,0.0,1.0,50.75,51.43,50.25,50.97,1173304.0
2016-05-27,50.38,50.67,49.8,50.53,998142.0,0.0,1.0,50.38,50.67,49.8,50.53,998142.0
2016-05-26,50.73,51.04,50.21,50.53,771656.0,0.0,1.0,50.73,51.04,50.21,50.53,771656.0
2016-05-25,50.97,51.45,50.24,50.65,924806.0,0.0,1.0,50.97,51.45,50.24,50.65,924806.0
2016-05-24,50.74,51.53,50.06,50.98,920772.0,0.0,1.0,50.74,51.53,50.06,50.98,920772.0
2016-05-23,50.0,51.56,50.0,50.4,1904157.0,0.0,1.0,50.0,51.56,50.0,50.4,1904157.0
2016-05-20,47.66,49.45,47.4,49.4,1762884.0,0.0,1.0,47.66,49.45,47.4,49.4,1762884.0
2016-05-19,46.71,48.07,46.37,47.17,1693698.0,0.0,1.0,46.71,48.07,46.37,47.17,1693698.0
2016-05-18,45.63,47.68,45.35,47.22,2046877.0,0.0,1.0,45.63,47.68,45.35,47.22,2046877.0
2016-05-17,45.54,46.7,45.27,45.83,1275039.0,0.0,1.0,45.54,46.7,45.27,45.83,1275039.0
2016-05-16,45.03,46.41,45.0,45.56,1233603.0,0.0,1.0,45.03,46.41,45.0,45.56,1233603.0
2016-05-13,45.24,46.38,44.52,44.99,1255502.0,0.0,1.0,45.24,46.38,44.52,44.99,1255502.0
2016-05-12,46.19,46.54,44.52,45.18,1673835.0,0.0,1.0,46.19,46.54,44.52,45.18,1673835.0
2016-05-11,46.4,46.88,45.97,45.99,720086.0,0.0,1.0,46.4,46.88,45.97,45.99,720086.0
2016-05-10,45.86,46.88,45.06,46.64,1126496.0,0.0,1.0,45.86,46.88,45.06,46.64,1126496.0
2016-05-09,46.27,46.5837,45.4,45.62,907057.0,0.0,1.0,46.27,46.5837,45.4,45.62,907057.0
2016-05-06,46.65,46.8279,45.02,46.11,1747736.0,0.0,1.0,46.65,46.8279,45.02,46.11,1747736.0
2016-05-05,47.9,48.95,46.51,46.66,4678590.0,0.0,1.0,47.9,48.95,46.51,46.66,4678590.0
2016-05-04,44.48,45.43,43.79,44.51,2217298.0,0.0,1.0,44.48,45.43,43.79,44.51,2217298.0
2016-05-03,44.32,45.19,44.32,45.04,1429244.0,0.0,1.0,44.32,45.19,44.32,45.04,1429244.0
2016-05-02,45.07,45.12,44.0,44.71,1190640.0,0.0,1.0,45.07,45.12,44.0,44.71,1190640.0
2016-04-29,45.67,46.495,43.97,45.03,2121181.0,0.0,1.0,45.67,46.495,43.97,45.03,2121181.0
2016-04-28,46.23,46.88,45.64,45.83,1368228.0,0.0,1.0,46.23,46.88,45.64,45.83,1368228.0
2016-04-27,44.3,47.38,44.3,46.62,2317088.0,0.0,1.0,44.3,47.38,44.3,46.62,2317088.0
2016-04-26,45.42,46.93,45.18,46.3,1070215.0,0.0,1.0,45.42,46.93,45.18,46.3,1070215.0
2016-04-25,45.52,45.7,44.52,45.05,635100.0,0.0,1.0,45.52,45.7,44.52,45.05,635100.0
2016-04-22,45.26,46.35,45.24,45.7,847069.0,0.0,1.0,45.26,46.35,45.24,45.7,847069.0
2016-04-21,45.86,46.33,44.65,45.35,1262651.0,0.0,1.0,45.86,46.33,44.65,45.35,1262651.0
2016-04-20,45.06,46.28,44.576,45.94,1650846.0,0.0,1.0,45.06,46.28,44.576,45.94,1650846.0
2016-04-19,46.98,47.0,44.87,45.24,2329016.0,0.0,1.0,46.98,47.0,44.87,45.24,2329016.0
2016-04-18,47.3,47.52,46.66,47.16,1337715.0,0.0,1.0,47.3,47.52,46.66,47.16,1337715.0
2016-04-15,49.29,49.79,47.61,47.74,1465598.0,0.0,1.0,49.29,49.79,47.61,47.74,1465598.0
2016-04-14,49.41,49.9,48.8,49.63,878334.0,0.0,1.0,49.41,49.9,48.8,49.63,878334.0
2016-04-13,48.1,50.16,47.82,50.04,1253971.0,0.0,1.0,48.1,50.16,47.82,50.04,1253971.0
2016-04-12,47.96,48.34,47.16,47.68,1178852.0,0.0,1.0,47.96,48.34,47.16,47.68,1178852.0
2016-04-11,49.41,49.47,47.95,47.99,901963.0,0.0,1.0,49.41,49.47,47.95,47.99,901963.0
2016-04-08,49.43,49.8,48.78,49.24,1098960.0,0.0,1.0,49.43,49.8,48.78,49.24,1098960.0
2016-04-07,49.85,50.49,48.64,48.73,1085965.0,0.0,1.0,49.85,50.49,48.64,48.73,1085965.0
2016-04-06,49.97,50.58,48.435,50.5,1163129.0,0.0,1.0,49.97,50.58,48.435,50.5,1163129.0
2016-04-05,50.03,50.62,49.68,49.86,765535.0,0.0,1.0,50.03,50.62,49.68,49.86,765535.0
2016-04-04,50.93,51.25,50.34,50.62,759457.0,0.0,1.0,50.93,51.25,50.34,50.62,759457.0
2016-04-01,50.15,51.27,49.55,50.82,1215130.0,0.0,1.0,50.15,51.27,49.55,50.82,1215130.0
2016-03-31,51.01,51.25,50.37,50.41,988246.0,0.0,1.0,51.01,51.25,50.37,50.41,988246.0
2016-03-30,51.0,51.95,50.78,51.23,1260012.0,0.0,1.0,51.0,51.95,50.78,51.23,1260012.0
2016-03-29,48.8,50.69,48.21,50.58,1023440.0,0.0,1.0,48.8,50.69,48.21,50.58,1023440.0
2016-03-28,49.66,49.67,48.85,49.1,863119.0,0.0,1.0,49.66,49.67,48.85,49.1,863119.0
2016-03-24,49.23,49.47,48.58,49.24,1291057.0,0.0,1.0,49.23,49.47,48.58,49.24,1291057.0
2016-03-23,51.72,51.78,49.5,49.52,906652.0,0.0,1.0,51.72,51.78,49.5,49.52,906652.0
2016-03-22,50.35,51.85,50.18,51.75,1226277.0,0.0,1.0,50.35,51.85,50.18,51.75,1226277.0
2016-03-21,50.65,51.2,50.03,50.64,756755.0,0.0,1.0,50.65,51.2,50.03,50.64,756755.0
2016-03-18,49.39,51.15,49.16,50.69,2730879.0,0.0,1.0,49.39,51.15,49.16,50.69,2730879.0
2016-03-17,48.69,49.43,48.24,49.2,1352843.0,0.0,1.0,48.69,49.43,48.24,49.2,1352843.0
2016-03-16,48.93,50.17,48.14,48.99,1565986.0,0.0,1.0,48.93,50.17,48.14,48.99,1565986.0
2016-03-15,49.36,49.9,48.1,49.27,1230964.0,0.0,1.0,49.36,49.9,48.1,49.27,1230964.0
2016-03-14,48.31,49.13,47.59,48.73,1609627.0,0.0,1.0,48.31,49.13,47.59,48.73,1609627.0
2016-03-11,48.07,49.11,47.515,48.64,1053278.0,0.0,1.0,48.07,49.11,47.515,48.64,1053278.0
2016-03-09,47.54,48.68,46.23,48.18,1398408.0,0.0,1.0,47.54,48.68,46.23,48.18,1398408.0
2016-03-08,48.91,49.1,46.86,47.09,2252648.0,0.0,1.0,48.91,49.1,46.86,47.09,2252648.0
2016-03-07,49.5,50.07,48.3775,49.06,2220871.0,0.0,1.0,49.5,50.07,48.3775,49.06,2220871.0
2016-03-04,49.56,50.82,48.59,49.9,2451298.0,0.0,1.0,49.56,50.82,48.59,49.9,2451298.0
2016-03-03,47.73,49.13,47.23,49.11,1859418.0,0.0,1.0,47.73,49.13,47.23,49.11,1859418.0
2016-03-02,46.66,48.29,46.65,47.65,1816440.0,0.0,1.0,46.66,48.29,46.65,47.65,1816440.0
2016-03-01,45.52,48.2425,45.5,47.36,2354800.0,0.0,1.0,45.52,48.2425,45.5,47.36,2354800.0
2016-02-29,43.5,46.64,43.47,45.0995,2154752.0,0.0,1.0,43.5,46.64,43.47,45.0995,2154752.0
2016-02-26,43.08,44.14,42.72,43.46,2296477.0,0.0,1.0,43.08,44.14,42.72,43.46,2296477.0
2016-02-25,42.31,43.06,41.43,42.67,1293646.0,0.0,1.0,42.31,43.06,41.43,42.67,1293646.0
2016-02-24,40.98,42.47,40.54,42.14,1483657.0,0.0,1.0,40.98,42.47,40.54,42.14,1483657.0
2016-02-23,41.73,42.32,40.95,41.49,1364788.0,0.0,1.0,41.73,42.32,40.95,41.49,1364788.0
2016-02-22,42.79,43.0,41.2275,41.96,1987314.0,0.0,1.0,42.79,43.0,41.2275,41.96,1987314.0
2016-02-19,40.12,42.11,40.11,41.85,1916011.0,0.0,1.0,40.12,42.11,40.11,41.85,1916011.0
2016-02-18,41.6,42.3,39.92,40.41,2264402.0,0.0,1.0,41.6,42.3,39.92,40.41,2264402.0
2016-02-17,41.23,44.72,41.04,41.59,4112732.0,0.0,1.0,41.23,44.72,41.04,41.59,4112732.0
2016-02-16,38.12,41.23,37.51,40.78,2675904.0,0.0,1.0,38.12,41.23,37.51,40.78,2675904.0
2016-02-12,35.2,37.73,34.82,37.55,2027960.0,0.0,1.0,35.2,37.73,34.82,37.55,2027960.0
2016-02-11,34.54,34.9,33.3,34.53,1554345.0,0.0,1.0,34.54,34.9,33.3,34.53,1554345.0
2016-02-10,35.28,36.67,34.6,35.36,1257620.0,0.0,1.0,35.28,36.67,34.6,35.36,1257620.0
2016-02-09,35.65,37.06,35.03,35.14,1539919.0,0.0,1.0,35.65,37.06,35.03,35.14,1539919.0
2016-02-08,36.61,37.22,35.43,36.42,2437081.0,0.0,1.0,36.61,37.22,35.43,36.42,2437081.0
2016-02-05,36.6,38.2,34.9,37.25,3622992.0,0.0,1.0,36.6,38.2,34.9,37.25,3622992.0
2016-02-04,37.39,38.94,37.09,38.78,2732814.0,0.0,1.0,37.39,38.94,37.09,38.78,2732814.0
2016-02-03,37.24,37.59,35.52,37.06,1293215.0,0.0,1.0,37.24,37.59,35.52,37.06,1293215.0
2016-02-02,39.25,39.35,37.07,37.15,1330914.0,0.0,1.0,39.25,39.35,37.07,37.15,1330914.0
2016-02-01,39.45,40.55,38.34,39.97,1681320.0,0.0,1.0,39.45,40.55,38.34,39.97,1681320.0
2016-01-29,37.26,39.98,37.18,39.6,2447646.0,0.0,1.0,37.26,39.98,37.18,39.6,2447646.0
2016-01-28,37.09,37.71,36.13,36.67,1848245.0,0.0,1.0,37.09,37.71,36.13,36.67,1848245.0
2016-01-27,39.31,39.42,36.8,37.02,2308619.0,0.0,1.0,39.31,39.42,36.8,37.02,2308619.0
2016-01-26,40.2,40.5,39.025,39.76,1487485.0,0.0,1.0,40.2,40.5,39.025,39.76,1487485.0
2016-01-25,40.77,40.81,39.48,39.76,1341202.0,0.0,1.0,40.77,40.81,39.48,39.76,1341202.0
2016-01-22,38.81,41.15,38.26,41.06,2779643.0,0.0,1.0,38.81,41.15,38.26,41.06,2779643.0
2016-01-21,37.45,38.4,36.6,37.84,1334929.0,0.0,1.0,37.45,38.4,36.6,37.84,1334929.0
2016-01-20,35.54,37.94,35.31,37.05,1873007.0,0.0,1.0,35.54,37.94,35.31,37.05,1873007.0
2016-01-19,37.21,37.48,35.7201,36.29,1926029.0,0.0,1.0,37.21,37.48,35.7201,36.29,1926029.0
2016-01-15,37.92,38.05,35.16,36.55,3290795.0,0.0,1.0,37.92,38.05,35.16,36.55,3290795.0
2016-01-14,40.56,40.64,38.96,39.42,2218395.0,0.0,1.0,40.56,40.64,38.96,39.42,2218395.0
2016-01-13,40.74,42.25,38.9,40.39,5765776.0,0.0,1.0,40.74,42.25,38.9,40.39,5765776.0
2016-01-12,44.37,45.77,44.01,44.78,1303381.0,0.0,1.0,44.37,45.77,44.01,44.78,1303381.0
2016-01-11,44.66,44.86,42.8,44.22,2156746.0,0.0,1.0,44.66,44.86,42.8,44.22,2156746.0
2016-01-08,43.05,45.32,42.4,44.49,7709288.0,0.0,1.0,43.05,45.32,42.4,44.49,7709288.0
2016-01-07,44.5,47.11,44.11,45.64,3609775.0,0.0,1.0,44.5,47.11,44.11,45.64,3609775.0
2016-01-06,46.66,46.69,44.16,44.62,2629698.0,0.0,1.0,46.66,46.69,44.16,44.62,2629698.0
2016-01-05,50.76,50.97,47.36,47.53,1595626.0,0.0,1.0,50.76,50.97,47.36,47.53,1595626.0
2016-01-04,49.68,50.8,48.72,50.67,1316587.0,0.0,1.0,49.68,50.8,48.72,50.67,1316587.0
2015-12-31,51.41,51.83,49.48,50.9,1517861.0,0.0,1.0,51.41,51.83,49.48,50.9,1517861.0
2015-12-30,52.96,53.28,51.6,51.66,969376.0,0.0,1.0,52.96,53.28,51.6,51.66,969376.0
2015-12-29,53.18,53.72,51.4,52.99,1125863.0,0.0,1.0,53.18,53.72,51.4,52.99,1125863.0
2015-12-28,54.0,54.0899,52.03,52.89,973817.0,0.0,1.0,54.0,54.0899,52.03,52.89,973817.0
2015-12-24,54.29,54.86,54.17,54.21,482622.0,0.0,1.0,54.29,54.86,54.17,54.21,482622.0
2015-12-23,52.59,54.79,52.26,54.41,1056981.0,0.0,1.0,52.59,54.79,52.26,54.41,1056981.0
2015-12-22,53.5,53.7,51.63,52.42,881290.0,0.0,1.0,53.5,53.7,51.63,52.42,881290.0
2015-12-21,51.87,53.4,50.14,53.35,1349337.0,0.0,1.0,51.87,53.4,50.14,53.35,1349337.0
2015-12-18,52.5,53.27,51.32,51.63,1932363.0,0.0,1.0,52.5,53.27,51.32,51.63,1932363.0
2015-12-17,53.47,54.09,52.1075,52.75,846732.0,0.0,1.0,53.47,54.09,52.1075,52.75,846732.0
2015-12-16,52.23,53.61,50.21,53.23,2251956.0,0.0,1.0,52.23,53.61,50.21,53.23,2251956.0
2015-12-15,52.4,53.23,50.56,51.69,1863783.0,0.0,1.0,52.4,53.23,50.56,51.69,1863783.0
2015-12-14,56.06,56.49,52.11,52.48,1876786.0,0.0,1.0,56.06,56.49,52.11,52.48,1876786.0
